date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:01:48	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/showroom.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/showroom.337.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/muse-a-year-in-moving-image.html)
23:01:48	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/boutique/bespoke-boutique.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/boutique/bespoke-boutique.338.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/muse-a-year-in-moving-image.html)
23:02:09	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/showroom.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/showroom.339.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/dream-commission.html)
23:02:09	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/showroom.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/showroom.33a.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/dream-commission.html)
23:02:10	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/boutique/bespoke-boutique.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/boutique/bespoke-boutique.33b.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/dream-commission.html)
23:02:31	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/showroom.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/showroom.33c.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/dream-commission-shortlist.html)
23:02:32	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/showroom.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/showroom.33d.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/dream-commission-shortlist.html)
23:02:32	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/boutique/bespoke-boutique.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/boutique/bespoke-boutique.33e.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/dream-commission-shortlist.html)
23:02:48	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/showroom.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/showroom.33f.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/the-dream-commission-martine-syms.html)
23:02:49	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/showroom.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/showroom.340.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/the-dream-commission-martine-syms.html)
23:02:49	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/boutique/bespoke-boutique.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/boutique/bespoke-boutique.341.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/the-dream-commission-martine-syms.html)
23:03:05	0/-1	---M--	301	error ('')			https://www.rolls-roycemotorcars.com/en_GB/showroom.html	C:/Users/Admin/Rolce%20royce/www.rolls-roycemotorcars.com/en_GB/showroom.342.delayed	(from https://www.rolls-roycemotorcars.com/en_GB/muse/the-dream-commission/the-dream-commission-beatriz-santiago-munoz.html)
